Lat,Lon,HeidkeSkillScore_DroughtVsNonDrought
41.21875,-116.21875,36.52056320101822
41.28125,-116.21875,43.324512869858076
41.28125,-116.09375,57.169693174702566
41.28125,-116.15625,33.38136407300672
41.28125,-116.28125,51.64852752880922
41.34375,-116.21875,49.107142857142854
41.34375,-116.09375,5.369127516778524
41.34375,-116.15625,9.728506787330318
41.34375,-116.28125,65.41087231352718
41.34375,-116.03125,65.4958183990442
41.40625,-116.21875,47.98206278026906
41.40625,-116.09375,13.420605576096733
41.40625,-116.15625,42.75466284074606
41.40625,-116.28125,58.60630407911002
41.40625,-116.03125,61.96196196196196
41.40625,-116.40625,66.64557962992251
41.40625,-116.65625,48.35988753514527
41.46875,-116.21875,48.11676082862524
41.46875,-116.09375,47.7353568887835
41.46875,-116.15625,48.2426614481409
41.46875,-116.28125,48.493975903614455
41.46875,-116.03125,66.79611650485437
41.46875,-116.40625,52.95238095238095
41.46875,-116.65625,52.641479855776765
41.46875,-114.90625,27.142180842670033
41.46875,-114.96875,74.62908011869436
41.46875,-115.40625,33.42277641859364
41.46875,-115.46875,29.23149457802923
41.46875,-116.34375,54.07582938388625
41.46875,-116.46875,53.76908396946565
41.46875,-116.53125,66.12184249628528
41.46875,-116.59375,55.38160469667319
41.53125,-116.21875,48.10454438427125
41.53125,-116.09375,61.89365671641791
41.53125,-116.15625,56.7847748723503
41.53125,-116.28125,48.46855272387187
41.53125,-116.03125,63.68240483581115
41.53125,-116.40625,34.036144578313255
41.53125,-116.65625,56.49532710280374
41.53125,-114.90625,25.417075564278708
41.53125,-114.96875,62.02355128602417
41.53125,-115.40625,34.192630080657914
41.53125,-115.46875,27.411652340019106
41.53125,-116.34375,55.81395348837209
41.53125,-116.46875,57.36989716422561
41.53125,-116.53125,54.528390427029564
41.53125,-116.59375,52.022445639466916
41.53125,-114.71875,27.56730998332142
41.53125,-114.78125,20.428536644752864
41.53125,-114.84375,19.275421984355702
41.53125,-115.03125,63.623931623931625
41.53125,-115.53125,24.558823529411764
41.53125,-115.59375,40.946550506239696
41.59375,-116.21875,49.9882491186839
41.59375,-116.09375,53.799392097264445
41.59375,-116.15625,50.730787364450734
41.59375,-116.28125,36.5375568449114
41.59375,-116.40625,35.165876777251185
41.59375,-116.65625,54.958165478772855
41.59375,-114.90625,42.419698524189094
41.59375,-114.96875,52.855805243445694
41.59375,-115.46875,38.84506153360682
41.59375,-116.34375,37.242699856390615
41.59375,-116.46875,49.337283642600966
41.59375,-116.53125,56.3525550867323
41.59375,-116.59375,52.21980751319466
41.59375,-114.71875,28.969088849328372
41.59375,-114.78125,26.316629428662626
41.59375,-114.84375,36.97243420028033
41.59375,-115.03125,71.30208333333333
41.59375,-115.53125,30.432715168806467
41.59375,-115.59375,58.35535519975128
41.59375,-114.65625,52.52239509665252
41.59375,-115.09375,67.14953271028037
41.59375,-119.21875,26.067700094906677
41.65625,-116.21875,49.775784753363226
41.65625,-116.09375,62.883720930232556
41.65625,-116.15625,60.165772793759146
41.65625,-116.28125,41.27436994769377
41.65625,-116.03125,58.50371747211896
41.65625,-116.40625,44.87951807228915
41.65625,-116.65625,56.5967365967366
41.65625,-114.90625,45.20094562647754
41.65625,-114.96875,61.78075783564634
41.65625,-115.46875,62.07056638811513
41.65625,-116.34375,34.73282442748092
41.65625,-116.46875,51.183431952662716
41.65625,-116.53125,56.89814814814815
41.65625,-116.59375,52.160397886229404
41.65625,-114.71875,32.29331643965791
41.65625,-114.78125,22.319942952222487
41.65625,-114.84375,59.86572785328311
41.65625,-115.03125,50.26100506427736
