cell_id,Lat,Lon,Elevation
240493,41.21875,-116.21875,1821.38
241420,41.28125,-116.28125,1940.38
241421,41.28125,-116.21875,1786.06006
241422,41.28125,-116.15625,1762.56006
241423,41.28125,-116.09375,1995.38
242348,41.34375,-116.28125,2263.56006
242349,41.34375,-116.21875,2009.25
242350,41.34375,-116.15625,1765.06006
242351,41.34375,-116.09375,1763.75
242352,41.34375,-116.03125,2186.87988
243270,41.40625,-116.65625,1813.22998
243274,41.40625,-116.40625,2035.5
243276,41.40625,-116.28125,1908.06006
243277,41.40625,-116.21875,1881.25
243278,41.40625,-116.15625,1707
243279,41.40625,-116.09375,1765.68994
243280,41.40625,-116.03125,2125.68994
244198,41.46875,-116.65625,1783.75
244199,41.46875,-116.59375,1707.68994
244200,41.46875,-116.53125,1782.25
244201,41.46875,-116.46875,1905.31006
244202,41.46875,-116.40625,1933.18005
244203,41.46875,-116.34375,1798.81006
244204,41.46875,-116.28125,1880.5
244205,41.46875,-116.21875,1740.18994
244206,41.46875,-116.15625,1764.75
244207,41.46875,-116.09375,1869.93994
244208,41.46875,-116.03125,2356.31006
244217,41.46875,-115.46875,1930.31006
244218,41.46875,-115.40625,1950.56006
244225,41.46875,-114.96875,2229.18994
244226,41.46875,-114.90625,1918.75
245126,41.53125,-116.65625,1649
245127,41.53125,-116.59375,1650.5
245128,41.53125,-116.53125,1685
245129,41.53125,-116.46875,1707
245130,41.53125,-116.40625,1641.12
245131,41.53125,-116.34375,1943.06995
245132,41.53125,-116.28125,1937.88
245133,41.53125,-116.21875,1767.63
245134,41.53125,-116.15625,2003.56006
245135,41.53125,-116.09375,2098.93994
245136,41.53125,-116.03125,2228.81006
245143,41.53125,-115.59375,2129.31006
245144,41.53125,-115.53125,1964.56006
245145,41.53125,-115.46875,1889
245146,41.53125,-115.40625,2039.31006
245152,41.53125,-115.03125,2354.84009
245153,41.53125,-114.96875,2042.62
245154,41.53125,-114.90625,1889.43994
245155,41.53125,-114.84375,1828
245156,41.53125,-114.78125,1799.5
245157,41.53125,-114.71875,1893.18994
246013,41.59375,-119.21875,1965.75
246054,41.59375,-116.65625,1634.93994
246055,41.59375,-116.59375,1646
246056,41.59375,-116.53125,1678.18994
246057,41.59375,-116.46875,1652
246058,41.59375,-116.40625,1620.81006
246059,41.59375,-116.34375,1630.18994
246060,41.59375,-116.28125,1646
246061,41.59375,-116.21875,1781.13
246062,41.59375,-116.15625,1832.25
246063,41.59375,-116.09375,1842.43994
246071,41.59375,-115.59375,2111.43994
246072,41.59375,-115.53125,1889.31006
246073,41.59375,-115.46875,2071.37988
246079,41.59375,-115.09375,2168.62012
246080,41.59375,-115.03125,2238.37988
246081,41.59375,-114.96875,1957.93994
246082,41.59375,-114.90625,1834.87
246083,41.59375,-114.84375,1768.18994
246084,41.59375,-114.78125,1764.93994
246085,41.59375,-114.71875,1941.18994
246086,41.59375,-114.65625,2197.31006
246937,41.65625,-119.46875,1880.75
246938,41.65625,-119.40625,1827.81006
246939,41.65625,-119.34375,2075.43994
246940,41.65625,-119.28125,1868.12
246981,41.65625,-116.71875,1631.06006
246982,41.65625,-116.65625,1616.5
246983,41.65625,-116.59375,1570.87
246984,41.65625,-116.53125,1629.25
246985,41.65625,-116.46875,1621.38
246986,41.65625,-116.40625,1593.06006
246987,41.65625,-116.34375,1612.88
246988,41.65625,-116.28125,1641.18994
246989,41.65625,-116.21875,1680.06006
246990,41.65625,-116.15625,2120.93994
246991,41.65625,-116.09375,1891.62
246992,41.65625,-116.03125,2005.38
246993,41.65625,-115.96875,2361
246999,41.65625,-115.59375,2022.68994
247000,41.65625,-115.53125,1838.12
247001,41.65625,-115.46875,2031.68994
247006,41.65625,-115.15625,1893.18994
247007,41.65625,-115.09375,1854.43994
247008,41.65625,-115.03125,2007.5
247009,41.65625,-114.96875,2041.25
247010,41.65625,-114.90625,1880.37
247011,41.65625,-114.84375,1707
247012,41.65625,-114.78125,1779.43994
247013,41.65625,-114.71875,1953.38
247014,41.65625,-114.65625,2066.07007
247865,41.71875,-119.46875,1818.88
247866,41.71875,-119.40625,1828.93994
247867,41.71875,-119.34375,1842.5
247868,41.71875,-119.28125,1958.56006
247902,41.71875,-117.15625,1799.38
247903,41.71875,-117.09375,1761.62
247906,41.71875,-116.90625,1616.25
247911,41.71875,-116.59375,1615
247912,41.71875,-116.53125,1607.13
247913,41.71875,-116.46875,1627.38
247914,41.71875,-116.40625,1530.25
247915,41.71875,-116.34375,1583.12
247916,41.71875,-116.28125,1630.38
247917,41.71875,-116.21875,1694.5
247918,41.71875,-116.15625,2011.93994
