Name,BinaryForecast_75percentMedian,Elevation
Spokane,37.3626373626374,974.7543521698474
Snake Headwaters,30.2752293577982,2336.4701218274113
Clearwater,56.9811320754717,1311.4559187489597
Middle Snake-Powder,16.5853658536585,1305.0292885416666
Deschutes,31.2217194570136,1223.154455652065
Lower Snake,20.8333333333333,971.9750851338496
Middle Snake-Boise,27.4809160305344,1423.6016830262936
Kootenai,41.9847328244275,1273.9070871529411
Pend Oreille,35.1219512195122,1485.7213970125754
Upper Columbia,37.0860927152318,850.9790434797593
Yakima,31.3253012048193,827.3990079350104
Upper Snake,25.3275109170306,1734.9027807498842
John Day,23.2323232323232,1163.8259350166388
Northern Oregon Coastal,-9.19540229885057,304.7213116686469
Washington Coastal,28.1081081081081,295.9699674397229
Oregon Closed Basins,36.8770764119601,1522.3019823577235
Middle Columbia,12.4423963133641,629.8822975598371
Puget Sound,54.2168674698795,673.1916017210365
Lower Columbia,16.5853658536585,597.6256642986956
Willamette,5.52486187845304,547.9552102172055
Southern Oregon Coastal,-5.06912442396313,673.3547980310077
Salmon,41.2371134020619,2017.524875493862
