Lat,Lon,HeidkeSkillScore_DroughtVsNonDrought
41.21875,-116.21875,29.888178913738017
41.28125,-116.21875,34.767891682785304
41.28125,-116.09375,51.66457286432161
41.28125,-116.15625,29.66436327739388
41.28125,-116.28125,43.16500482470247
41.34375,-116.21875,41.964285714285715
41.34375,-116.09375,22.516556291390728
41.34375,-116.15625,15.680473372781064
41.34375,-116.28125,62.155260469867216
41.34375,-116.03125,62.709430349449505
41.40625,-116.21875,51.569506726457405
41.40625,-116.09375,23.79514824797844
41.40625,-116.15625,41.10634239389604
41.40625,-116.28125,56.791460396039604
41.40625,-116.03125,57.259713701431494
41.40625,-116.40625,64.76462196861627
41.40625,-116.65625,46.872037914691944
41.46875,-116.21875,48.84270193670288
41.46875,-116.09375,44.835792479771534
41.46875,-116.15625,49.083215796897036
41.46875,-116.28125,48.33015267175573
41.46875,-116.03125,58.98523985239852
41.46875,-116.40625,52.11602472658108
41.46875,-116.65625,45.37313432835821
41.46875,-114.90625,35.30895334174023
41.46875,-114.96875,70.8704253214639
41.46875,-115.40625,33.004231311706626
41.46875,-115.46875,35.79247977153736
41.46875,-116.34375,47.57373929590866
41.46875,-116.46875,57.39503816793893
41.46875,-116.53125,69.74002654383636
41.46875,-116.59375,51.554261430707484
41.53125,-116.21875,48.57549857549858
41.53125,-116.09375,62.7479965766747
41.53125,-116.15625,55.73503145142502
41.53125,-116.28125,44.534254100290354
41.53125,-116.03125,58.9859437751004
41.53125,-116.40625,31.221719457013574
41.53125,-116.65625,53.78858746492049
41.53125,-114.90625,31.0107948969578
41.53125,-114.96875,69.99070919789409
41.53125,-115.40625,43.3328073220767
41.53125,-115.46875,31.433998100664766
41.53125,-116.34375,57.422969187675065
41.53125,-116.46875,52.04113430975382
41.53125,-116.53125,54.528390427029564
41.53125,-116.59375,50.01174536058257
41.53125,-114.71875,39.69682614874467
41.53125,-114.78125,29.105637836510923
41.53125,-114.84375,29.72666071863087
41.53125,-115.03125,59.416628387689485
41.53125,-115.53125,30.292058894520878
41.53125,-115.59375,44.26307073574639
41.59375,-116.21875,50.92360676268003
41.59375,-116.09375,50.75400565504241
41.59375,-116.15625,50.497394599715776
41.59375,-116.28125,28.307522993475352
41.59375,-116.40625,26.980863514154674
41.59375,-116.65625,59.247746347528754
41.59375,-114.90625,43.951927579210235
