Lat,Lon,HeidkeSkillScore_DroughtVsNonDrought
41.21875,-116.21875,40.30940103133677
41.28125,-116.21875,28.45763939174511
41.28125,-116.09375,58.160237388724035
41.28125,-116.15625,33.91304347826087
41.28125,-116.28125,50.458280657395704
41.34375,-116.21875,43.75
41.34375,-116.09375,14.000000000000002
41.34375,-116.15625,5.232761638081905
41.34375,-116.28125,69.91828396322778
41.34375,-116.03125,72.94089722288156
41.40625,-116.21875,57.15292459478506
41.40625,-116.09375,16.832311270881796
41.40625,-116.15625,44.57197513151602
41.40625,-116.28125,63.890605686032146
41.40625,-116.03125,65.5241935483871
41.40625,-116.40625,67.7256999056307
41.40625,-116.65625,47.13926438226972
41.46875,-116.21875,51.58854985844605
41.46875,-116.09375,52.4102079395085
41.46875,-116.15625,55.472228732130304
41.46875,-116.28125,48.33015267175573
41.46875,-116.03125,71.7046361138197
41.46875,-116.40625,57.8972182932579
41.46875,-116.65625,55.37112433448168
41.46875,-114.90625,36.55745414641793
41.46875,-114.96875,78.38773491592482
41.46875,-115.40625,39.658713856849424
41.46875,-115.46875,35.94491927825261
41.46875,-116.34375,57.0486656200942
41.46875,-116.46875,61.27962085308057
41.46875,-116.53125,68.01496375964462
41.46875,-116.59375,60.63103367082646
41.53125,-116.21875,50.497394599715776
41.53125,-116.09375,69.79191021744214
41.53125,-116.15625,60.226391688633896
41.53125,-116.28125,54.72667808752531
41.53125,-116.03125,72.99460872406469
41.53125,-116.40625,31.402439024390244
41.53125,-116.65625,55.56594948550047
41.53125,-114.90625,24.442289039767218
41.53125,-114.96875,63.789897737836995
41.53125,-115.40625,41.01257761502946
41.53125,-115.46875,35.04273504273504
41.53125,-116.34375,63.56407857811038
41.53125,-116.46875,63.609467455621306
41.53125,-116.53125,52.96590378327885
41.53125,-116.59375,50.961989676208354
41.53125,-114.71875,34.965533634418826
41.53125,-114.78125,19.99031945788964
41.53125,-114.84375,22.618181818181817
41.53125,-115.03125,70.34607554851844
41.53125,-115.53125,33.96089790007241
41.53125,-115.59375,42.600896860986545
41.59375,-116.21875,58.134083450539144
41.59375,-116.09375,52.708202880400755
41.59375,-116.15625,55.15695067264574
41.59375,-116.28125,29.857221740159346
41.59375,-116.40625,33.36492890995261
41.59375,-116.65625,48.680533995653526
41.59375,-114.90625,46.97256385998108
41.59375,-114.96875,53.053613053613056
41.59375,-115.46875,45.62089458867688
41.59375,-116.34375,31.8578352180937
41.59375,-116.46875,58.29051844932275
41.59375,-116.53125,53.031716417910445
41.59375,-116.59375,47.82811045609681
41.59375,-114.71875,33.46303501945525
41.59375,-114.78125,36.88706105662765
41.59375,-114.84375,35.33799533799534
41.59375,-115.03125,65.79218106995884
41.59375,-115.53125,34.623655913978496
41.59375,-115.59375,53.96085740913327
41.59375,-114.65625,49.90583804143126
41.59375,-115.09375,70.75559701492537
41.59375,-119.21875,30.754475703324808
41.65625,-116.21875,38.57855954361778
41.65625,-116.09375,62.95264623955432
41.65625,-116.15625,70.39705143240073
41.65625,-116.28125,34.67048710601719
41.65625,-116.03125,62.11746522411128
41.65625,-116.40625,35.01926782273603
41.65625,-116.65625,52.98786181139123
41.65625,-114.90625,42.79114226541341
41.65625,-114.96875,61.84026156001868
41.65625,-115.46875,53.759750390015604
41.65625,-116.34375,42.24192526915769
41.65625,-116.46875,51.365187713310576
41.65625,-116.53125,55.02784653465347
41.65625,-116.59375,50.01565925461948
41.65625,-114.71875,30.311209907907273
41.65625,-114.78125,29.713066160777807
41.65625,-114.84375,61.019294960514536
41.65625,-115.03125,50.477077030486385
41.65625,-115.53125,32.86544046466602
41.65625,-115.59375,61.17346543850143
41.65625,-114.65625,40.568720379146924
41.65625,-115.09375,28.40130505709625
41.65625,-115.15625,35.873871018855965
41.65625,-115.96875,72.58438546766297
41.65625,-116.71875,59.120673526660426
41.65625,-119.28125,32.576726342711
41.65625,-119.34375,24.277035236938033
41.65625,-119.40625,18.808675946908384
41.65625,-119.46875,27.639402217579946
41.71875,-116.21875,43.64406779661017
41.71875,-116.09375,57.180733539549266
41.71875,-116.15625,69.3985403909068
41.71875,-116.28125,15.214619634509138
41.71875,-116.03125,77.61853342495337
41.71875,-116.40625,22.23319271160578
41.71875,-114.90625,39.22859830667921
41.71875,-114.96875,55.46875
41.71875,-115.46875,62.82320055904962
41.71875,-116.34375,42.255639097744364
41.71875,-116.46875,45.10291262135922
41.71875,-116.53125,55.346650998824906
41.71875,-116.59375,48.29123328380386
